transactionDate,assetDescription,readyTime,readyTimeUOM,CO2eFactor,engineIdleAFC,dieselSavedVolume,dieselSavedVolumeUOM,dieselRate,dieselRateUOM,dieselSavedCost,CO2eReduction,CO2eReductionUOM,chargeAmount,currency
2022-06-02T00:00:00.000Z,Pump_1,4.4,hour,10.21 kg/gal,15.06 gal/hr,66.26,gal,5.8,USD / gal,384.33,676.56,kg,175.5,USD
2022-06-02T00:00:00.000Z,Pump_2,9.9,hour,10.21 kg/gal,15.06 gal/hr,149.09,gal,5.8,USD / gal,797.65,1522.25,kg,258.16,USD
2022-06-02T00:00:00.000Z,Pump_3,9.4,hour,10.21 kg/gal,15.06 gal/hr,141.56,gal,5.8,USD / gal,771.52,1445.37,kg,252.93,USD
2022-06-02T00:00:00.000Z,Pump_4,10.5,hour,10.21 kg/gal,15.06 gal/hr,158.13,gal,5.8,USD / gal,902.92,1614.51,kg,279.21,USD
2022-06-02T00:00:00.000Z,Pump_5,7.1,hour,10.21 kg/gal,15.06 gal/hr,106.93,gal,5.8,USD / gal,620.17,1091.71,kg,222.66,USD
2022-06-02T00:00:00.000Z,Pump_6,8.3,hour,10.21 kg/gal,15.06 gal/hr,125,gal,5.8,USD / gal,722.49,1276.23,kg,243.13,USD
2022-06-02T00:00:00.000Z,Pump_7,8.4,hour,10.21 kg/gal,15.06 gal/hr,126.5,gal,5.8,USD / gal,726.13,1291.61,kg,243.86,USD
2022-06-02T00:00:00.000Z,Pump_8,10.4,hour,10.21 kg/gal,15.06 gal/hr,156.62,gal,5.8,USD / gal,864.56,1599.13,kg,271.54,USD
2022-06-02T00:00:00.000Z,Pump_9,5.9,hour,10.21 kg/gal,15.06 gal/hr,88.85,gal,5.8,USD / gal,476.26,907.2,kg,193.88,USD
2022-06-02T00:00:00.000Z,Pump_10,8.8,hour,10.21 kg/gal,12.00 gal/hr,105.6,gal,5.8,USD / gal,579.74,1078.18,kg,214.58,USD
